"","Latitude","Longitude","Depth","MagType","Magnitude","class","Region_Arica_Parinacota","Region_Tarapaca","Region_Antofagasta","Region_Atacama","Region_Coquimbo","Region_Valparaiso","Region_Metropolitana_Santiago","Region_Libertador_General_OHiggins","Region_Maule","Region_Nuble","Region_Biobio","Region_Araucania","Region_Rios","Region_Lagos","Region_Aysen_General_Carlos_Ibanez","Region_Magallanes_Antartica"
"6001",-32.1017,-72.2248,3.2,"MW",4.1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"6002",-32.7819,-69.9913,115.4,"MW",4,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"6003",-23.705,-67.298,242.1,"ML",4.1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"6004",-21.7279,-67.1138,193.5,"mb",4.3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"6005",-32.2882,-71.9256,10.7,"mb",4.2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"6006",-21.7976,-68.3792,122.9,"MW",5.8,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"6007",-21.8055,-68.3777,116.8,"mb",4.1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"6008",-29.4071,-71.7686,1.8,"mb",4.5,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"6009",-21.8435,-68.2421,104,"mb",4.3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"6010",-34.7889,-73.5468,12.8,"mb",4.2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"6011",-23.34,-68.118,174.4,"ML",4,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"6012",-31.244,-69.214,109.5,"MW",4.2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"6013",-31.887,-68.28,110.3,"MW",4.4,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"6014",-29.439,-69.5325,127.5,"mb",4.8,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"6015",-31.4998,-68.6104,102.7,"MW",4.1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"6016",-21.874,-66.594,314.5,"ML",4.1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"6017",-26.2031,-70.9199,31,"mb",4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"6018",-34.117,-72.1766,42,"mb",4.1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"6019",-15.67,-75.3007,26,"mb",4.3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6020",-33.9598,-72.469,1.7,"mb",4.6,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"6021",-34.0416,-72.1893,34.7,"mb",4.7,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"6022",-30.9264,-68.5976,12.4,"MW",4.2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"6023",-32.876,-70.5862,82,"MW",5.6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"6024",-33.9444,-72.4855,17,"mb",4.2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"6025",-19.5171,-64.1096,600,"mb",4.6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6026",-32.9498,-70.7507,99.5,"MW",4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"6027",-23.6701,-68.1053,134.8,"MW",4.6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"6028",-23.795,-67.316,246.7,"ML",4,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"6029",-34.5896,-72.3166,8.5,"mb",4.5,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"6030",-21.7918,-68.4433,131.4,"mb",4.2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"6031",-35.3776,-74.0225,35,"mb",4.8,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"6032",-21.0966,-68.941,115.2,"mb",4,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
